,source,author,title,description,url,urlToImage,publishedAt,content
10,the-verge,Nicole Wetsman,When senior citizens are the early adopters,"Many senior living facilities use location tracking devices to monitor residents. During the coronavirus pandemic, they started to use them for COVID-19 contact tracing.",https://www.theverge.com/21509117/contact-tracing-apps-digital-senior-nursing-homes,https://cdn.vox-cdn.com/thumbor/XwA8TGk6uX9d4nrZ-ZXJAFUu380=/0x6:2040x1074/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/21959622/acastro_201014_4240_00012.0.jpg,2020-10-15T13:00:00Z,"Illustration by Alex Castro / The Verge


 Digital contact tracing wasn’t up for debate in senior living facilities Steve Kasch’s mom, Julia, was always worried about losing her keys. “She wasn’t eve… [+21305 chars]"
11,The Verge,Nicole Wetsman,When senior citizens are the early adopters,"Many senior living facilities use location tracking devices to monitor residents. During the coronavirus pandemic, they started to use them for COVID-19 contact tracing.",https://www.theverge.com/21509117/contact-tracing-apps-digital-senior-nursing-homes,https://cdn.vox-cdn.com/thumbor/XwA8TGk6uX9d4nrZ-ZXJAFUu380=/0x6:2040x1074/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/21959622/acastro_201014_4240_00012.0.jpg,2020-10-15T13:00:00Z,"Illustration by Alex Castro / The Verge


 Digital contact tracing wasn’t up for debate in senior living facilities Steve Kasch’s mom, Julia, was always worried about losing her keys. “She wasn’t eve… [+21305 chars]"
12,,Sameer Yasir,"India’s Covid-19 Death Toll Passes 100,000","Only the United States and Brazil have reported more deaths from the coronavirus. Despite its climbing numbers, India plans to lift more restrictions.",https://www.nytimes.com/2020/10/03/world/asia/india-coronavirus-deaths.html,https://static01.nyt.com/images/2020/10/03/world/03virus-india/03virus-india-facebookJumbo.jpg,2020-10-03T08:06:58Z,"SRINAGAR, Kashmir More than 100,000 people in India have died from the coronavirus, the government said on Saturday, even as officials plan to lift more restrictions in hopes of reviving the crippled… [+835 chars]"
13,New York Times,Sameer Yasir,"India’s Covid-19 Death Toll Passes 100,000","Only the United States and Brazil have reported more deaths from the coronavirus. Despite its climbing numbers, India plans to lift more restrictions.",https://www.nytimes.com/2020/10/03/world/asia/india-coronavirus-deaths.html,https://static01.nyt.com/images/2020/10/03/world/03virus-india/03virus-india-facebookJumbo.jpg,2020-10-03T08:06:58Z,"SRINAGAR, Kashmir More than 100,000 people in India have died from the coronavirus, the government said on Saturday, even as officials plan to lift more restrictions in hopes of reviving the crippled… [+835 chars]"
14,bbc-news,,Covid: India's coronavirus outbreak in 200 seconds,"As cases in India continue to rise, here's a look at how the country has responded to the pandemic.",https://www.bbc.co.uk/news/world-asia-54486121,,2020-10-10T23:01:58Z,
15,BBC News,,Covid: India's coronavirus outbreak in 200 seconds,"As cases in India continue to rise, here's a look at how the country has responded to the pandemic.",https://www.bbc.co.uk/news/world-asia-54486121,,2020-10-10T23:01:58Z,
16,bbc-news,https://www.facebook.com/bbcnews,Covid: Brazil's coronavirus cases pass five million,"Brazil is the third worst-hit country, after the US and India, with deaths approaching 150,000.",https://www.bbc.co.uk/news/world-latin-america-54447346,https://ichef.bbci.co.uk/news/1024/branded_news/2EAE/production/_114805911_tv063683887.jpg,2020-10-07T22:02:25Z,"image captionThe streets of São Paulo remain busy with shoppers
Confirmed cases of coronavirus in Brazil have passed five million, with deaths in the country approaching 150,000, officials say. 
Br… [+1444 chars]"
17,BBC News,https://www.facebook.com/bbcnews,Covid: Brazil's coronavirus cases pass five million,"Brazil is the third worst-hit country, after the US and India, with deaths approaching 150,000.",https://www.bbc.co.uk/news/world-latin-america-54447346,https://ichef.bbci.co.uk/news/1024/branded_news/2EAE/production/_114805911_tv063683887.jpg,2020-10-07T22:02:25Z,"image captionThe streets of São Paulo remain busy with shoppers
Confirmed cases of coronavirus in Brazil have passed five million, with deaths in the country approaching 150,000, officials say. 
Br… [+1444 chars]"
18,,Dawn MacKeen,"Zinc: It Helps With Colds, But Not Coronavirus",Maybe! It may help with the common cold. There is no definitive scientific evidence suggesting it will help Covid-19.,https://www.nytimes.com/2020/09/28/style/self-care/what-is-zinc.html,https://static01.nyt.com/images/2019/12/01/fashion/27scam-probiotics-1/27scam-probiotics-1-facebookJumbo.jpg,2020-09-28T14:25:53Z,"Zinc is the second most common trace mineral in our bodies and affects all organs and cells. It is a micronutrient needed for metabolism, our sense of taste and smell and especially key during times … [+5073 chars]"
19,New York Times,Dawn MacKeen,"Zinc: It Helps With Colds, But Not Coronavirus",Maybe! It may help with the common cold. There is no definitive scientific evidence suggesting it will help Covid-19.,https://www.nytimes.com/2020/09/28/style/self-care/what-is-zinc.html,https://static01.nyt.com/images/2019/12/01/fashion/27scam-probiotics-1/27scam-probiotics-1-facebookJumbo.jpg,2020-09-28T14:25:53Z,"Zinc is the second most common trace mineral in our bodies and affects all organs and cells. It is a micronutrient needed for metabolism, our sense of taste and smell and especially key during times … [+5073 chars]"
